보안등위치명,설치개수,소재지도로명주소,소재지지번주소
연남동 06-27,1,서울특별시 마포구 연남로9길 9 백운맨션,서울특별시 마포구 연남동 366-1
연남동 06-28,1,서울특별시 마포구 연남로9길 11 한마음빌라,서울특별시 마포구 연남동 366-31
연남동 06-29,1,,서울특별시 마포구 연남동 574
연남동 06-30,1,서울특별시 마포구 연남로11길 13-8 청지그린빌라,서울특별시 마포구 연남동 478-21
연남동 06-31,1,서울특별시 마포구 성미산로19길 76 준빌리지,서울특별시 마포구 연남동 478-5
연남동 06-32,1,서울특별시 마포구 성미산로19길 68,서울특별시 마포구 연남동 478-9
연남동 06-33,1,서울특별시 마포구 성미산로19길 66,서울특별시 마포구 연남동 478-17
연남동 06-34,1,서울특별시 마포구 성미산로19길 52,서울특별시 마포구 연남동 370-38
연남동 06-35,1,서울특별시 마포구 연남로9길 27-5,서울특별시 마포구 연남동 370-52
연남동 06-36,1,서울특별시 마포구 연남로9길 27 우남파크빌,서울특별시 마포구 연남동 370-2
연남동 06-37,1,서울특별시 마포구 연남로9길 21-3,서울특별시 마포구 연남동 370-57
연남동 06-38,1,서울특별시 마포구 연남로9길 11-6,서울특별시 마포구 연남동 370-54
연남동 06-39,1,서울특별시 마포구 연남로 61-6,서울특별시 마포구 연남동 366-10
연남동 06-40,1,서울특별시 마포구 연남로 61-6,서울특별시 마포구 연남동 366-10
연남동 06-41,1,서울특별시 마포구 연남로 51-1,서울특별시 마포구 연남동 369-13
연남동 06-42,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-44,1,서울특별시 마포구 연남로9길 11-17 워너빌,서울특별시 마포구 연남동 366-21
연남동 06-45,1,서울특별시 마포구 연남로9길 11-12 상민아트빌,서울특별시 마포구 연남동 370-33
연남동 06-46,1,서울특별시 마포구 연남로9길 11-5,서울특별시 마포구 연남동 366-32
연남동 06-47,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-48,1,서울특별시 마포구 연남로7길 20-5,서울특별시 마포구 연남동 370-24
연남동 06-49,1,서울특별시 마포구 연남로7길 20-10,서울특별시 마포구 연남동 370-18
연남동 06-50,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-51,1,서울특별시 마포구 연남로7길 24-9,서울특별시 마포구 연남동 370-13
연남동 06-52,1,서울특별시 마포구 연남로7길 20-16,서울특별시 마포구 연남동 370-15
연남동 06-53,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-54,1,서울특별시 마포구 연남로7길 32-7,서울특별시 마포구 연남동 370-7
연남동 06-55,1,서울특별시 마포구 연남로7길 32-10 연남어린이집,서울특별시 마포구 연남동 370-6
연남동 06-56,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-57,1,서울특별시 마포구 연남로7길 38 H하우스,서울특별시 마포구 연남동 370-8
연남동 06-58,1,서울특별시 마포구 성미산로19길 38,서울특별시 마포구 연남동 370-43
연남동 06-59,1,서울특별시 마포구 성미산로19길 46,서울특별시 마포구 연남동 370-41
연남동 06-60,1,서울특별시 마포구 연남로7길 32-12,서울특별시 마포구 연남동 370-40
연남동 06-61,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-62,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-63,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-64,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 482-2
연남동 06-65,1,서울특별시 마포구 성미산로19길 8,서울특별시 마포구 연남동 488-1
연남동 06-66,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-67,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-68,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 572
연남동 06-69,1,서울특별시 마포구 성미산로 121,서울특별시 마포구 연남동 572
연남동 06-74,1,서울특별시 마포구 연남로 57,서울특별시 마포구 연남동 369-2
연남동 06-75,1,서울특별시 마포구 성미산로 111 경성중고등학교. 홍익디자인고등학교,서울특별시 마포구 연남동 369-1
연남동 06-76,1,서울특별시 마포구 연남로 55-1 다베로,서울특별시 마포구 연남동 369-16
연남동 06-78,1,서울특별시 마포구 연남로11길 16,서울특별시 마포구 연남동 364-21
연남동 06-79,1,서울특별시 마포구 성미산로19길 112,서울특별시 마포구 연남동 361-15
연남동 06-81,1,서울특별시 마포구 연남로11길 13-6,서울특별시 마포구 연남동 478-20
연남동 06-82,1,서울특별시 마포구 연남로 67 이조빌라,서울특별시 마포구 연남동 366-2
연남동 06-83,1,서울특별시 마포구 연남로 84,서울특별시 마포구 연남동 361-32
연남동 06-84,1,서울특별시 마포구 연남로 84,서울특별시 마포구 연남동 361-32
연남동 06-85,1,서울특별시 마포구 연남로11길 22 연우럭스빌라,서울특별시 마포구 연남동 364-19
연남동 06-86,1,서울특별시 마포구 동교로 232,
연남동 06-86,1,서울특별시 마포구 성미산로19길 78,서울특별시 마포구 연남동 478-4
연남동 06-89,1,서울특별시 마포구 동교로 230,
연남동 06-89,1,서울특별시 마포구 연남로 98,
연남동 06-90,1,서울특별시 마포구 연남로 96,
연남동 07-01,1,서울특별시 마포구 성미산로 112,서울특별시 마포구 연남동 504-1
연남동 07-02,1,서울특별시 마포구 성미산로 116-6 크림슨 연남,서울특별시 마포구 연남동 504-4
연남동 07-03,1,서울특별시 마포구 성미산로 118-3 연운재,서울특별시 마포구 연남동 504-30
연남동 07-04,1,서울특별시 마포구 성미산로 124,서울특별시 마포구 연남동 509-1
연남동 07-05,1,서울특별시 마포구 성미산로22길 8,서울특별시 마포구 연남동 504-38
